jenis_kelamin,berat_kg,tinggi_cm,lingkar_perut_cm,frekuensi_makan,sarapan,konsumsi_sayur_buah,konsumsi_daging,konsumsi_susu,fast_food,minuman_bersoda,nafsu_makan_rumah,nafsu_makan_sekolah,air_minum,lama_tidur,olahraga,aktivitas_fisik,BMI,status_gizi
0,67.8,157.0,77.0,2,0,1,1,1,1,2,0,0,1,1,1,1,27.50618686356444,Gemuk
0,45.7,159.0,60.0,1,0,1,1,2,2,1,1,1,1,1,1,1,18.076816581622563,Kurus
0,61.5,166.0,65.0,2,1,2,2,2,1,1,0,0,1,0,2,2,22.318188416315866,Normal
0,50.6,154.0,60.0,2,1,2,1,1,2,1,0,0,1,1,2,2,21.335807050092765,Normal
1,60.0,168.7,70.9,3,1,1,1,1,1,1,0,0,2,1,1,1,21.082450300758726,Normal
1,51.0,165.3,71.0,2,0,1,1,1,2,1,0,0,1,1,1,1,18.664848490837205,Normal
1,49.0,161.0,51.0,4,1,2,1,1,1,1,0,0,2,1,2,1,18.90359168241966,Normal
0,50.4,158.0,68.0,3,1,1,1,1,1,1,0,0,1,0,1,0,20.189072264060243,Normal
0,48.1,157.0,63.0,3,1,1,2,1,2,1,0,0,0,1,0,1,19.513976226216073,Normal
0,50.2,162.0,67.0,3,1,2,1,1,1,1,0,0,2,1,0,2,19.128181679622006,Normal
0,47.8,153.0,68.0,2,0,1,1,1,1,0,0,0,2,1,1,1,20.419496774744754,Normal
0,37.0,141.0,62.0,2,1,1,1,2,1,1,0,0,1,1,1,0,18.61073386650571,Normal
0,44.0,150.0,65.0,3,1,1,1,1,1,1,0,0,1,0,0,0,19.555555555555557,Normal
1,52.5,167.0,68.0,2,1,1,1,1,1,0,0,0,1,1,0,0,18.82462619670838,Normal
1,85.0,165.0,82.0,3,1,1,1,1,0,1,0,0,1,1,1,2,31.22130394857668,Obesitas
1,45.1,162.0,58.0,2,1,1,0,0,2,1,0,1,2,1,0,1,17.18488035360463,Kurus
0,54.0,161.0,71.0,3,1,2,2,1,1,1,0,0,1,1,1,2,20.832529609197174,Normal
0,46.2,156.0,59.0,3,1,1,1,1,1,1,0,0,1,1,0,0,18.98422090729783,Normal
0,50.1,162.0,66.0,3,1,1,1,1,1,0,0,0,1,1,1,2,19.090077732053036,Normal
0,73.0,158.4,80.0,2,1,1,1,2,1,0,0,0,2,1,0,2,29.094607693092538,Gemuk
1,55.6,163.0,73.0,4,1,1,1,1,1,0,0,0,1,1,1,1,20.926643833038504,Normal
